"market_pair_basecurrency_symbol","exchangename","market_pair","quoteexchange_reportedvolume_24h_base","quoteUSDlast_updated"
BUSD,Binance,BUSD/USDT,1334915528.43000000,"2021-06-08T15:04:54.000Z"
BUSD,BKEX,BUSD/USDT,12587185.03180000,"2021-06-08T15:03:08.000Z"
BUSD,VCC Exchange,BUSD/USDT,9445553.00483393,"2021-06-08T15:03:09.000Z"
BUSD,Binance,BUSD/DAI,6782707.11000000,"2021-06-08T15:07:54.000Z"
BUSD,Binance.US,BUSD/USD,6114307.41304130,"2021-06-08T15:07:53.000Z"
BUSD,DODO BSC,BUSD/USDT,5908379.72816302,"2021-06-08T15:03:24.000Z"
BUSD,LocalTrade,BUSD/USDT,2607983.36780719,"2021-06-08T15:03:07.000Z"
BUSD,Binance.US,BUSD/USDT,2329253.56936368,"2021-06-08T15:04:53.000Z"
BUSD,OpenOcean,BUSD/USDT,2021635.12896636,"2021-06-08T15:03:11.000Z"
BUSD,TOKOK,BUSD/USDT,897274.84000000,"2021-06-08T15:03:10.000Z"
BUSD,DODO BSC,BUSD/USDC,880571.95006629,"2021-06-08T15:06:53.000Z"
BUSD,Gate.io,BUSD/USDT,389855.31591703,"2021-06-08T15:04:54.000Z"
BUSD,Coinsbit,BUSD/USDT,285738.08083429,"2021-06-08T15:06:13.000Z"
BUSD,MXC.COM,BUSD/USDT,229517.66000000,"2021-06-08T15:06:16.000Z"
BUSD,OceanEx,BUSD/USDT,196111.96000000,"2021-06-08T15:06:07.000Z"
BUSD,Bilaxy,BUSD/USDT,152871.60000000,"2021-06-08T15:06:10.000Z"
BUSD,WazirX,BUSD/USDT,85185.16000000,"2021-06-08T15:06:11.000Z"
BUSD,Hotbit,BUSD/USDT,64564.38693163,"2021-06-08T15:06:13.000Z"
BUSD,Hoo,BUSD/USDT,53593.57000000,"2021-06-08T15:06:07.000Z"
BUSD,CoinTiger,BUSD/USDT,41733.68647393,"2021-06-08T15:06:10.000Z"
BUSD,Folgory,BUSD/DAI,40390.48077900,"2021-06-08T15:06:13.000Z"
BUSD,CEX.IO,BUSD/USD,28222.02492000,"2021-06-08T15:06:11.000Z"
BUSD,Azbit,BUSD/USDT,20329.61000000,"2021-06-08T15:06:12.000Z"
BUSD,Tokenlon,BUSD/USDT,19444.00015641,"2021-06-08T15:06:12.000Z"
BUSD,CoinDCX,BUSD/USDT,14230.31029415,"2021-06-08T15:06:12.000Z"
BUSD,Folgory,BUSD/USDT,12593.73072200,"2021-06-08T15:06:13.000Z"
BUSD,CEX.IO,BUSD/USDT,8365.99361600,"2021-06-08T15:06:11.000Z"
BUSD,Poloniex,BUSD/USDT,6435.17288674,"2021-06-08T15:07:53.000Z"
BUSD,BiKi,BUSD/USDT,2318.40000000,"2021-06-08T15:06:12.000Z"
BUSD,"0x Protocol",BUSD/USDT,1038.00000000,"2021-06-08T05:06:18.000Z"
BUSD,OpenOcean,BUSD/DAI,868.55660000,"2021-06-08T15:06:10.000Z"
BUSD,OpenOcean,BUSD/USDC,600.00000000,"2021-06-08T15:06:10.000Z"
BUSD,ViteX,BUSD/USDT,200.00000000,"2021-06-08T15:06:11.000Z"
BUSD,HitBTC,BUSD/USDT,25.60000000,"2021-06-08T15:06:12.000Z"
BUSD,Changelly PRO,BUSD/USDT,25.60000000,"2021-06-08T15:06:11.000Z"
BUSD,KULAP,BUSD/DAI,0.00000000,"2021-06-08T15:06:12.000Z"
BUSD,KULAP,BUSD/USDC,0.00000000,"2021-06-08T15:06:12.000Z"
BUSD,KULAP,BUSD/USDT,0.00000000,"2021-06-08T15:06:12.000Z"
DAI,Uniswap (V3),DAI/USDC,41902406.60112762,"2021-06-08T15:06:10.000Z"
DAI,Coinbase Exchange,DAI/USD,21650430.82805000,"2021-06-08T15:07:54.000Z"
DAI,Curve Finance,DAI/SUSD,12948433.80436550,"2021-06-08T15:03:11.000Z"
DAI,DODO,DAI/USDT,9500348.17998174,"2021-06-08T15:03:08.000Z"
DAI,Curve Finance,DAI/USDC,6556870.70877664,"2021-06-08T15:06:12.000Z"
DAI,MDEX(BSC),DAI/USDT,4822888.46019837,"2021-06-08T15:03:12.000Z"
DAI,Curve Finance,DAI/USDT,3112330.63950358,"2021-06-08T15:03:11.000Z"
DAI,Gemini,DAI/USD,2392036.70326259,"2021-06-08T15:07:53.000Z"
DAI,Binance.US,DAI/USD,1807227.36365452,"2021-06-08T15:07:53.000Z"
DAI,"1inch Exchange",DAI/USDT,1795609.97672076,"2021-06-08T15:03:22.000Z"
DAI,Kraken,DAI/USD,1739082.91899228,"2021-06-08T15:07:54.000Z"
DAI,Kraken,DAI/USDT,1668283.87086295,"2021-06-08T15:04:54.000Z"
DAI,Hotcoin Global,DAI/USDT,1471016.00958737,"2021-06-08T15:03:12.000Z"
DAI,Huobi Global,DAI/HUSD,1391596.31964608,"2021-06-08T15:07:53.000Z"
DAI,Huobi Global,DAI/USDT,1020403.12570062,"2021-06-08T15:04:53.000Z"
DAI,FTX US,DAI/USD,825863.92213008,"2021-06-08T15:06:11.000Z"
DAI,AOFEX,DAI/USDT,701623.81484116,"2021-06-08T15:03:11.000Z"
DAI,XT.COM,DAI/USDT,679085.40000000,"2021-06-08T15:03:11.000Z"
DAI,OKEx,DAI/USDT,639083.92293947,"2021-06-08T15:04:53.000Z"
DAI,FTX,DAI/USD,604716.53270748,"2021-06-08T11:18:53.000Z"
DAI,Uniswap (V2),DAI/FEI,576277.37709186,"2021-05-21T08:54:07.000Z"
DAI,QuickSwap,DAI/USDT,541964.99783152,"2021-06-08T15:03:15.000Z"
DAI,"1inch Exchange",DAI/USDC,527383.80538549,"2021-06-08T15:06:19.000Z"
DAI,Tokenlon,DAI/USDT,476181.51367294,"2021-06-08T15:03:11.000Z"
DAI,Coinbase Exchange,DAI/USDC,472382.54770000,"2021-06-08T15:07:54.000Z"
DAI,Xtheta Global,DAI/USDT,420299.35331902,"2021-06-08T15:03:08.000Z"
DAI,"0x Protocol",DAI/USDT,379207.59184451,"2021-06-08T15:03:17.000Z"
DAI,Uniswap (V2),DAI/USDT,372367.81354008,"2021-06-08T14:57:12.000Z"
DAI,Dfyn Network,DAI/USDT,355961.32121493,"2021-06-08T15:03:11.000Z"
DAI,FTX,DAI/USDT,305661.31441702,"2021-06-08T15:07:53.000Z"
DAI,Curve Finance,DAI/PAX,231895.02615976,"2021-06-08T15:06:12.000Z"
DAI,Curve Finance,DAI/TUSD,231860.10934386,"2021-06-08T15:03:11.000Z"
DAI,Uniswap (V2),DAI/USDC,209946.93650501,"2021-06-08T15:06:11.000Z"
DAI,FTX US,DAI/USDT,203779.31684821,"2021-06-08T15:06:11.000Z"
DAI,Crypto.com Exchange,DAI/USDT,165365.05600000,"2021-06-08T15:06:11.000Z"
DAI,DigiFinex,DAI/USDT,156693.38786712,"2021-06-08T15:06:08.000Z"
DAI,AEX,DAI/USDT,143749.11240000,"2021-03-17T09:36:08.000Z"
DAI,"0x Protocol",DAI/USDC,138064.50990407,"2021-06-08T15:06:14.000Z"
DAI,OpenOcean,DAI/BUSD,128222.47925122,"2021-06-08T15:06:10.000Z"
DAI,Folgory,DAI/USDC,120219.50300200,"2021-06-08T15:06:13.000Z"
DAI,DODO BSC,DAI/USDT,113691.81832414,"2021-06-08T15:06:53.000Z"
DAI,BitZ,DAI/USDT,113572.01000000,"2021-05-12T07:24:11.000Z"
DAI,Bitfinex,DAI/USD,92587.36164453,"2021-06-08T15:07:53.000Z"
DAI,MXC.COM,DAI/USDT,85817.42000000,"2021-06-08T15:06:16.000Z"
DAI,Bittrex,DAI/USDT,83469.19030741,"2021-06-08T15:07:53.000Z"
DAI,Bitstamp,DAI/USD,81839.84452000,"2021-06-04T10:22:53.000Z"
DAI,"1inch Exchange",DAI/SUSD,58805.68095705,"2021-06-08T15:03:22.000Z"
DAI,Hoo,DAI/USDT,51930.54000000,"2021-06-08T15:06:07.000Z"
DAI,Uniswap (V3),DAI/FEI,39371.86936436,"2021-06-08T15:06:10.000Z"
DAI,"1inch Exchange",DAI/TUSD,38150.00000000,"2021-06-08T15:03:22.000Z"
DAI,ZT,DAI/USDT,31799.76000000,"2021-06-08T15:06:10.000Z"
DAI,Gate.io,DAI/USDT,31385.51967206,"2021-06-08T15:07:54.000Z"
DAI,Tokenlon,DAI/TUSD,29763.31110000,"2020-12-23T00:30:08.000Z"
DAI,WhiteBIT,DAI/USDT,27240.52000000,"2021-06-08T15:06:10.000Z"
DAI,Curve Finance,DAI/BUSD,25930.32515857,"2021-06-08T15:06:12.000Z"
DAI,OpenOcean,DAI/USDT,24856.56649522,"2021-06-06T11:21:07.000Z"
DAI,Okcoin,DAI/USD,22291.53528296,"2021-06-08T15:06:13.000Z"
DAI,ProBit Exchange,DAI/USDT,15091.96044150,"2021-06-08T15:06:13.000Z"
DAI,Hotbit,DAI/USDT,14495.17880979,"2021-06-08T15:06:13.000Z"
DAI,Bittrex,DAI/USD,8993.63791542,"2021-06-08T15:07:53.000Z"
DAI,EXMO,DAI/USD,7053.21740424,"2021-06-08T15:06:07.000Z"
DAI,OpenOcean,DAI/USDC,6016.15534952,"2021-06-08T15:06:10.000Z"
DAI,DeversiFi,DAI/USDT,5080.88600000,"2021-06-08T15:06:12.000Z"
DAI,CEX.IO,DAI/USD,4663.41222400,"2021-06-08T11:33:12.000Z"
DAI,Poloniex,DAI/USDT,3536.73698968,"2021-06-08T15:07:53.000Z"
DAI,Loopring Exchange,DAI/USDT,3375.50898204,"2021-06-08T15:06:11.000Z"
DAI,CoinJar,DAI/USDC,2738.50275413,"2021-06-08T15:06:13.000Z"
DAI,DODO BSC,DAI/BUSD,2319.19658967,"2021-06-08T15:06:53.000Z"
DAI,CEX.IO,DAI/USDT,2130.98897300,"2021-06-08T15:06:11.000Z"
DAI,Huobi Korea,DAI/USDT,1841.18979323,"2021-06-08T15:06:07.000Z"
DAI,ComethSwap,DAI/USDT,1601.20539915,"2021-05-19T11:54:07.000Z"
DAI,Balancer,DAI/USDC,1468.30710943,"2021-06-08T15:06:11.000Z"
DAI,CoinZoom,DAI/USDT,1219.88000000,"2021-06-08T15:06:07.000Z"
DAI,BiKi,DAI/USDT,1180.49220000,"2021-06-08T15:06:12.000Z"
DAI,SwipeSwap,DAI/USDC,1143.88130281,"2021-06-08T15:06:13.000Z"
DAI,ViteX,DAI/USDT,589.61918367,"2021-06-08T15:06:11.000Z"
DAI,"0x Protocol",DAI/TUSD,497.44413205,"2021-06-05T05:09:16.000Z"
DAI,CoinZoom,DAI/USD,196.69528754,"2021-06-08T15:06:07.000Z"
DAI,Tokenize Xchange,DAI/USD,145.14500000,"2021-06-08T15:06:13.000Z"
DAI,DODO BSC,DAI/USDC,101.00000000,"2021-06-07T13:36:21.000Z"
DAI,"50x",DAI/USDC,10.98697982,"2021-06-08T15:06:12.000Z"
DAI,BitBay,DAI/USDT,6.56951534,"2021-06-08T15:06:10.000Z"
DAI,HitBTC,DAI/USDC,0.00000000,"2021-06-08T15:06:12.000Z"
DAI,Oasis,DAI/USDC,0.00000000,"2021-06-08T15:06:10.000Z"
DAI,Oasis,DAI/TUSD,0.00000000,"2021-06-08T15:03:12.000Z"
DAI,CoinEx,DAI/USDT,0.00000000,"2021-06-01T09:12:23.000Z"
DAI,Bamboo Relay,DAI/USDC,0.00000000,"2021-06-08T15:06:12.000Z"
DAI,Bamboo Relay,DAI/USDT,0.00000000,"2021-06-08T15:06:12.000Z"
DAI,Independent Reserve,DAI/USD,0.00000000,"2021-06-08T15:06:14.000Z"
DAI,Changelly PRO,DAI/USDC,0.00000000,"2021-06-08T15:06:11.000Z"
DAI,KULAP,DAI/USDC,0.00000000,"2021-06-08T15:06:12.000Z"
DAI,KULAP,DAI/USDT,0.00000000,"2021-06-08T15:06:12.000Z"
FEI,Uniswap (V3),FEI/USDC,28018903.08753205,"2021-06-08T15:06:10.000Z"
FEI,Uniswap (V3),FEI/USDT,4682072.01180010,"2021-06-08T15:03:07.000Z"
FEI,LBank,FEI/USDT,1895725.75000000,"2021-06-08T15:03:12.000Z"
FEI,AEX,FEI/USDT,1093188.26630000,"2021-06-08T15:00:12.000Z"
