"market_pair_basecurrency_symbol","exchangename","market_pair","quoteexchange_reportedvolume_24h_base","quoteUSDlast_updated"
BUSD,Binance,BUSD/USDT,1089115451.52000000,"2021-06-21T12:58:54.000Z"
BUSD,PancakeSwap (V2),BUSD/USDC,19199913.11314594,"2021-06-14T15:24:14.000Z"
BUSD,PancakeSwap (V2),BUSD/USDT,17133223.16226538,"2021-06-14T15:27:15.000Z"
BUSD,DODO BSC,BUSD/USDT,13240146.26674862,"2021-06-21T12:58:20.000Z"
BUSD,VCC Exchange,BUSD/USDT,11326249.78391961,"2021-06-21T12:57:11.000Z"
BUSD,BKEX,BUSD/USDT,10330973.83820000,"2021-06-21T12:57:12.000Z"
BUSD,Binance.US,BUSD/USD,7206564.34986501,"2021-06-21T12:58:53.000Z"
BUSD,Binance,BUSD/DAI,3965127.45000000,"2021-06-21T12:58:54.000Z"
BUSD,Binance.US,BUSD/USDT,3800197.31885111,"2021-06-21T12:58:53.000Z"
BUSD,OpenOcean,BUSD/USDT,3321731.04821676,"2021-06-21T12:57:13.000Z"
BUSD,PancakeSwap (V2),BUSD/DAI,2657566.68336783,"2021-06-14T15:24:14.000Z"
BUSD,LocalTrade,BUSD/USDT,2174433.19638475,"2021-06-21T12:57:11.000Z"
BUSD,TOKOK,BUSD/USDT,931403.46000000,"2021-06-21T12:57:12.000Z"
BUSD,DODO BSC,BUSD/USDC,699172.00792966,"2021-06-21T12:58:20.000Z"
BUSD,Gate.io,BUSD/USDT,446436.94460163,"2021-06-21T12:58:53.000Z"
BUSD,Coinsbit,BUSD/USDT,289048.96486222,"2021-06-21T12:57:12.000Z"
BUSD,Bilaxy,BUSD/USDT,188307.42000000,"2021-06-21T12:57:07.000Z"
BUSD,MXC.COM,BUSD/USDT,181783.69000000,"2021-06-21T12:57:15.000Z"
BUSD,OceanEx,BUSD/USDT,171203.93000000,"2021-06-21T12:57:12.000Z"
BUSD,WazirX,BUSD/USDT,105775.75000000,"2021-06-21T12:57:10.000Z"
BUSD,Folgory,BUSD/DAI,37205.43409100,"2021-06-21T12:57:08.000Z"
BUSD,Hotbit,BUSD/USDT,36954.82848195,"2021-06-21T12:57:13.000Z"
BUSD,CoinTiger,BUSD/USDT,34055.97500450,"2021-06-21T12:57:11.000Z"
BUSD,Hoo,BUSD/USDT,32952.38000000,"2021-06-21T12:57:10.000Z"
BUSD,Poloniex,BUSD/USDT,26107.88127740,"2021-06-21T12:58:53.000Z"
BUSD,Azbit,BUSD/USDT,24400.68000000,"2021-06-21T12:57:12.000Z"
BUSD,Folgory,BUSD/USDT,12845.55556500,"2021-06-21T12:57:08.000Z"
BUSD,CoinDCX,BUSD/USDT,11688.40070286,"2021-06-21T12:57:11.000Z"
BUSD,ViteX,BUSD/USDT,7062.16686687,"2021-06-21T12:57:10.000Z"
BUSD,OpenOcean,BUSD/USDC,3210.19325422,"2021-06-21T12:57:13.000Z"
BUSD,BiKi,BUSD/USDT,1795.29000000,"2021-06-21T12:57:13.000Z"
BUSD,"0x Protocol",BUSD/USDT,1708.79930871,"2021-06-21T04:24:13.000Z"
BUSD,CEX.IO,BUSD/USD,1209.03753900,"2021-06-21T12:57:11.000Z"
BUSD,CEX.IO,BUSD/USDT,523.32268300,"2021-06-21T12:57:11.000Z"
BUSD,OpenOcean,BUSD/DAI,234.26736908,"2021-06-21T12:57:13.000Z"
BUSD,Tokenlon,BUSD/USDT,193.32460000,"2021-06-21T12:57:10.000Z"
BUSD,HitBTC,BUSD/USDT,56.52000000,"2021-06-21T12:57:11.000Z"
BUSD,Changelly PRO,BUSD/USDT,56.52000000,"2021-06-21T12:57:12.000Z"
BUSD,KULAP,BUSD/DAI,0.00000000,"2021-06-21T12:57:08.000Z"
BUSD,KULAP,BUSD/USDC,0.00000000,"2021-06-21T12:57:08.000Z"
BUSD,KULAP,BUSD/USDT,0.00000000,"2021-06-21T12:57:08.000Z"
DAI,Uniswap (V3),DAI/USDC,35759158.44575876,"2021-06-21T12:57:10.000Z"
DAI,Curve Finance,DAI/USDC,16260605.16516522,"2021-06-21T12:57:11.000Z"
DAI,Coinbase Exchange,DAI/USD,16113998.36689000,"2021-06-21T12:58:23.000Z"
DAI,DODO,DAI/USDT,15068631.66631460,"2021-06-21T12:57:10.000Z"
DAI,Curve Finance,DAI/USDT,5378596.08319120,"2021-06-21T12:57:11.000Z"
DAI,"1inch Exchange",DAI/USDT,3784688.28078985,"2021-06-21T12:57:19.000Z"
DAI,Curve Finance,DAI/SUSD,3718042.62874534,"2021-06-21T12:57:11.000Z"
DAI,Kraken,DAI/USDT,2817764.33078111,"2021-06-21T12:58:54.000Z"
DAI,"1inch Exchange",DAI/USDC,2463043.45051666,"2021-06-21T12:57:19.000Z"
DAI,Uniswap (V3),DAI/FEI,2094329.56517681,"2021-06-21T12:57:10.000Z"
DAI,Tokenlon,DAI/USDT,2016236.64301000,"2021-06-21T12:57:10.000Z"
DAI,Huobi Global,DAI/HUSD,1969429.09706652,"2021-06-21T12:58:53.000Z"
